C:\behvdata\clash\clashMEG	 August 05, 2014 09:19:44	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
        37.000000 	       224.000000 	        64.000000 	        27.000000 	         1.000000 	         2.000000 	        20.000000 	         0.634682 	        22.000000 	         9.000000 	         5.000000 	         7.000000 	         1.000000 	         0.734896 	         1.000000 	         0.000000 	      3840.000000 	        69.692098 	        29.013071 	      2608.478794 	      1844.869238 	      1847.081920 	      1847.775048 	      1848.188250 	      1850.294300 	      1851.094064 	         0.800000 	         2.200000 	         0.400000 	         2.100000 	  
        37.000000 	       225.000000 	        72.000000 	        22.000000 	         1.000000 	         2.000000 	        20.000000 	         0.821290 	         2.000000 	         3.000000 	        20.000000 	         5.000000 	         2.000000 	         1.163393 	         0.000000 	         0.000000 	      3840.000000 	        71.555159 	        26.023654 	      2608.478794 	      1852.307038 	      1854.119837 	      1854.999577 	      1855.412795 	      1857.625469 	      1858.851778 	         1.200000 	         1.800000 	         0.400000 	         2.200000 	  
        37.000000 	       226.000000 	        70.000000 	        27.000000 	         1.000000 	         2.000000 	        20.000000 	         0.545754 	         3.000000 	         7.000000 	        24.000000 	         3.000000 	         2.000000 	         1.479891 	         0.000000 	         0.000000 	      3840.000000 	        72.844694 	        23.729177 	      2608.478794 	      1859.758176 	      1861.970864 	      1862.570686 	      1863.183581 	      1864.996630 	      1866.542840 	         0.900000 	         2.200000 	         0.600000 	         1.800000 	  
        37.000000 	       227.000000 	        74.000000 	        23.000000 	         1.000000 	         2.000000 	        20.000000 	         0.684329 	        14.000000 	         3.000000 	         9.000000 	         6.000000 	         2.000000 	         2.136020 	         0.000000 	         1.000000 	      3849.000000 	        73.522498 	        20.774042 	      2608.478794 	      1867.355935 	      1869.568613 	      1870.315074 	      1870.928212 	      1873.140897 	      1875.340238 	         0.800000 	         2.200000 	         0.600000 	         2.200000 	  
        37.000000 	       228.000000 	        78.000000 	        17.000000 	         2.000000 	         2.000000 	        20.000000 	         0.678761 	         3.000000 	         3.000000 	        14.000000 	         9.000000 	         2.000000 	         0.642368 	         1.000000 	         1.000000 	      3863.000000 	        73.224954 	        20.831426 	      2608.478794 	      1876.153336 	      1877.966138 	      1878.699262 	      1879.312408 	      1881.418454 	      1882.124916 	         0.800000 	         1.800000 	         0.600000 	         2.100000 	  
        37.000000 	       229.000000 	        73.000000 	        19.000000 	         2.000000 	         1.000000 	        20.000000 	         0.565336 	        22.000000 	         9.000000 	        51.000000 	         3.000000 	         1.000000 	         1.841536 	         1.000000 	         1.000000 	      3865.000000 	        76.537081 	        22.330983 	      2608.478794 	      1882.938012 	      1885.150695 	      1885.777171 	      1886.190375 	      1888.403066 	      1890.309172 	         0.800000 	         2.200000 	         0.400000 	         2.200000 	  
        37.000000 	       230.000000 	        71.000000 	        22.000000 	         1.000000 	         1.000000 	         5.000000 	         1.357396 	        14.000000 	         9.000000 	        57.000000 	         3.000000 	         1.000000 	         1.830141 	         1.000000 	         0.000000 	      3879.000000 	        73.149386 	        25.065398 	      2608.478794 	      1891.522146 	      1893.734829 	      1895.147738 	      1895.760895 	      1897.573689 	      1899.466460 	         1.200000 	         2.200000 	         0.600000 	         1.800000 	  
        37.000000 	       231.000000 	        72.000000 	        32.000000 	         1.000000 	         1.000000 	         5.000000 	         0.570924 	        65.000000 	         1.000000 	         7.000000 	         9.000000 	         1.000000 	         5.677634 	         0.000000 	         1.000000 	      3879.000000 	        69.299361 	        28.122592 	      2608.478794 	      1900.572801 	      1902.585549 	      1903.212026 	      1903.625233 	      1905.438035 	      1911.169682 	         1.100000 	         2.000000 	         0.400000 	         1.800000 	  
        37.000000 	       232.000000 	       999.000000 	       999.000000 	       999.000000 	              NaN 	              NaN 	              NaN 	              NaN 	              NaN 	              NaN 	              NaN 	              NaN 	              NaN 	              NaN 	              NaN 	              NaN 	              NaN 	              NaN 	              NaN 	              NaN 	              NaN 	              NaN 	              NaN 	              NaN 	              NaN 	              NaN 	              NaN 	              NaN 	              NaN 	  
        37.000000 	       233.000000 	        71.000000 	        36.000000 	         2.000000 	         1.000000 	         5.000000 	         2.589283 	        64.000000 	         1.000000 	         7.000000 	         6.000000 	         1.000000 	         2.041568 	         1.000000 	         0.000000 	      3943.000000 	        67.544750 	        34.004840 	      2608.478794 	      1949.505055 	      1951.717734 	      1954.370275 	      1954.783478 	      1956.889535 	      1958.995570 	         0.900000 	         2.200000 	         0.400000 	         2.100000 	  
        37.000000 	       234.000000 	        70.000000 	        37.000000 	         2.000000 	         1.000000 	         5.000000 	         0.966162 	        14.000000 	         9.000000 	        56.000000 	         2.000000 	         1.000000 	         2.052434 	         1.000000 	         0.000000 	      3957.000000 	        67.058693 	        37.326036 	      2608.478794 	      1960.208536 	      1962.421235 	      1963.447596 	      1963.953959 	      1965.766911 	      1967.886286 	         1.200000 	         2.200000 	         0.500000 	         1.800000 	  
        37.000000 	       235.000000 	        58.000000 	        27.000000 	         2.000000 	         1.000000 	         5.000000 	         0.803209 	         6.000000 	         5.000000 	        52.000000 	         6.000000 	         2.000000 	         0.897180 	         0.000000 	         1.000000 	      4009.000000 	        63.645882 	        37.738522 	      2608.478794 	      1969.099267 	      1971.112005 	      1971.978319 	      1972.591579 	      1974.697621 	      1975.657322 	         1.200000 	         2.000000 	         0.600000 	         2.100000 	  
        37.000000 	       236.000000 	        63.000000 	        44.000000 	         1.000000 	         1.000000 	         5.000000 	         0.739214 	        57.000000 	         4.000000 	         6.000000 	         7.000000 	         1.000000 	         0.937407 	         0.000000 	         1.000000 	      4009.000000 	        62.996181 	        40.467516 	      2608.478794 	      1976.763681 	      1978.976343 	      1979.776116 	      1980.389271 	      1982.601956 	      1983.601658 	         1.100000 	         2.200000 	         0.600000 	         2.200000 	  
        37.000000 	       237.000000 	        62.000000 	        46.000000 	         1.000000 	         1.000000 	         5.000000 	         0.663801 	        19.000000 	         8.000000 	        43.000000 	         5.000000 	         2.000000 	         0.782461 	         1.000000 	         0.000000 	      4009.000000 	        61.472367 	        43.021077 	      2608.478794 	      1984.814621 	      1987.027313 	      1987.747101 	      1988.360249 	      1990.572936 	      1991.412680 	         1.200000 	         2.200000 	         0.600000 	         2.200000 	  
        37.000000 	       238.000000 	        57.000000 	        49.000000 	         2.000000 	         1.000000 	         5.000000 	         0.588214 	        11.000000 	         2.000000 	        46.000000 	         9.000000 	         2.000000 	         0.701863 	         1.000000 	         1.000000 	      4055.000000 	        59.723532 	        46.289792 	      2608.478794 	      1992.425709 	      1994.438459 	      1995.091601 	      1995.704749 	      1997.517541 	      1998.277325 	         1.000000 	         2.000000 	         0.600000 	         1.800000 	  
        37.000000 	       239.000000 	        61.000000 	        49.000000 	         1.000000 	         1.000000 	         5.000000 	         0.724358 	        43.000000 	         6.000000 	        18.000000 	         7.000000 	         1.000000 	         0.927391 	         0.000000 	         1.000000 	      4055.000000 	        59.088431 	        48.431959 	      2608.478794 	      1999.490302 	      2001.702985 	      2002.489413 	      2003.102562 	      2004.915362 	      2005.901743 	         1.200000 	         2.200000 	         0.600000 	         1.800000 	  
        37.000000 	       240.000000 	        52.000000 	        50.000000 	         1.000000 	         1.000000 	         5.000000 	         0.900893 	        16.000000 	         8.000000 	        36.000000 	         9.000000 	         2.000000 	         0.906587 	         1.000000 	         1.000000 	      4091.000000 	        55.030039 	        51.228050 	      2608.478794 	      2007.114712 	      2013.126279 	      2014.085992 	      2014.499206 	      2016.511945 	      2017.484993 	         1.200000 	         6.000000 	         0.400000 	         2.000000 	  
        37.000000 	       241.000000 	        61.000000 	        52.000000 	         2.000000 	         1.000000 	         5.000000 	         0.996365 	        55.000000 	         2.000000 	         6.000000 	         7.000000 	         1.000000 	         2.271551 	         0.000000 	         1.000000 	      4091.000000 	        52.294078 	        53.160994 	      2608.478794 	      2018.697968 	      2020.910652 	      2021.963674 	      2022.376885 	      2024.482927 	      2026.815563 	         1.200000 	         2.200000 	         0.400000 	         2.100000 	  
