C:\Behvdata\clash\clashMEG	 April 15, 2014 09:33:15	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
         1.000000 	        34.000000 	        69.000000 	        51.000000 	         2.000000 	         1.000000 	         5.000000 	         0.630033 	        28.000000 	         1.000000 	        41.000000 	         3.000000 	         2.000000 	         1.406853 	         0.000000 	         0.000000 	       797.000000 	        63.095246 	        46.849825 	      3794.367281 	       275.641142 	       277.653901 	       278.347036 	       278.760127 	       280.773018 	       282.239254 	         1.100000 	         2.000000 	         0.400000 	         2.000000 	  
         1.000000 	        35.000000 	        58.000000 	        50.000000 	         1.000000 	         1.000000 	         5.000000 	         0.710140 	        41.000000 	         5.000000 	        17.000000 	         8.000000 	         1.000000 	         1.206450 	         1.000000 	         0.000000 	       838.000000 	        61.414276 	        48.907324 	      3794.367281 	       283.145671 	       284.958476 	       285.731613 	       286.344755 	       288.557449 	       289.823751 	         0.900000 	         1.800000 	         0.600000 	         2.200000 	  
         1.000000 	        36.000000 	        59.000000 	        51.000000 	         1.000000 	         1.000000 	         5.000000 	         0.754708 	        24.000000 	         6.000000 	        35.000000 	         4.000000 	         2.000000 	         1.243389 	         0.000000 	         0.000000 	       838.000000 	        56.652984 	        51.044384 	      3794.367281 	       290.836802 	       292.649612 	       293.462720 	       293.875938 	       296.088632 	       297.394923 	         1.000000 	         1.800000 	         0.400000 	         2.200000 	  
         1.000000 	        37.000000 	        57.000000 	        50.000000 	         1.000000 	         1.000000 	         5.000000 	         0.639569 	        11.000000 	         8.000000 	        46.000000 	         9.000000 	         2.000000 	         0.797930 	         0.000000 	         0.000000 	       838.000000 	        55.619620 	        51.797586 	      3794.367281 	       298.208028 	       300.220780 	       300.913922 	       301.420443 	       303.326558 	       304.179650 	         0.800000 	         2.000000 	         0.500000 	         1.900000 	  
         1.000000 	        38.000000 	        60.000000 	        54.000000 	         2.000000 	         1.000000 	         5.000000 	         1.230391 	        42.000000 	         6.000000 	        18.000000 	         1.000000 	         1.000000 	         0.930806 	         1.000000 	         0.000000 	       880.000000 	        52.763962 	        54.379275 	      3794.367281 	       305.392637 	       307.405395 	       308.698354 	       309.111567 	       311.017700 	       312.003862 	         1.200000 	         2.000000 	         0.400000 	         1.900000 	  
         1.000000 	        39.000000 	        59.000000 	        53.000000 	         1.000000 	         1.000000 	         5.000000 	         0.949860 	        47.000000 	         9.000000 	        12.000000 	         5.000000 	         1.000000 	         0.625930 	         1.000000 	         1.000000 	       927.000000 	        50.776469 	        54.205333 	      3794.367281 	       313.017138 	       315.029879 	       316.042919 	       316.549446 	       318.762152 	       319.455283 	         1.000000 	         2.000000 	         0.500000 	         2.200000 	  
         1.000000 	        40.000000 	        50.000000 	        64.000000 	         1.000000 	         1.000000 	         5.000000 	         0.763211 	        40.000000 	         2.000000 	        10.000000 	         9.000000 	         2.000000 	         1.246529 	         1.000000 	         1.000000 	       937.000000 	        49.964331 	        57.592260 	      3794.367281 	       320.468232 	       322.681032 	       323.507450 	       323.920675 	       326.133368 	       327.439666 	         1.000000 	         2.200000 	         0.400000 	         2.200000 	  
         1.000000 	        41.000000 	        43.000000 	        58.000000 	         2.000000 	         1.000000 	         5.000000 	         0.645298 	        13.000000 	         5.000000 	        30.000000 	         7.000000 	         2.000000 	         0.782371 	         1.000000 	         1.000000 	       967.000000 	        47.338965 	        59.725623 	      3794.367281 	       328.346076 	       330.358830 	       331.065303 	       331.571819 	       333.677876 	       334.517637 	         0.900000 	         2.000000 	         0.500000 	         2.100000 	  
         1.000000 	        42.000000 	        43.000000 	        63.000000 	         2.000000 	         1.000000 	         5.000000 	         1.028942 	        34.000000 	         5.000000 	         9.000000 	         1.000000 	         1.000000 	         0.799907 	         1.000000 	         0.000000 	      1001.000000 	        44.296178 	        62.547717 	      3794.367281 	       335.330745 	       337.343253 	       338.436522 	       338.849733 	       340.755849 	       341.622272 	         0.800000 	         2.000000 	         0.400000 	         1.900000 	  
         1.000000 	        43.000000 	        47.000000 	        63.000000 	         2.000000 	         1.000000 	         5.000000 	         0.524245 	        38.000000 	         4.000000 	         9.000000 	         8.000000 	         2.000000 	         0.954451 	         0.000000 	         0.000000 	      1001.000000 	        43.893564 	        63.064674 	      3794.367281 	       342.635316 	       344.648070 	       345.234581 	       345.647791 	       347.553917 	       348.566844 	         1.000000 	         2.000000 	         0.400000 	         1.900000 	  
         1.000000 	        44.000000 	        41.000000 	        64.000000 	         2.000000 	         1.000000 	         5.000000 	         0.710079 	         8.000000 	         7.000000 	        33.000000 	         6.000000 	         2.000000 	         1.537181 	         1.000000 	         1.000000 	      1034.000000 	        43.365075 	        63.513882 	      3794.367281 	       349.473356 	       351.286177 	       352.059295 	       352.565808 	       354.778506 	       356.378053 	         0.900000 	         1.800000 	         0.500000 	         2.200000 	  
         1.000000 	        45.000000 	        41.000000 	        71.000000 	         1.000000 	         1.000000 	         5.000000 	         0.912486 	         8.000000 	         5.000000 	        33.000000 	         2.000000 	         2.000000 	         2.428138 	         1.000000 	         0.000000 	      1034.000000 	        41.836417 	        65.145004 	      3794.367281 	       357.391103 	       359.203910 	       360.176972 	       360.683488 	       362.896186 	       365.388814 	         1.000000 	         1.800000 	         0.500000 	         2.200000 	  
